transaction_id,customer_id,card_number_last4,card_type,transaction_date,transaction_time,amount,merchant_name,merchant_category,merchant_category_code,city,state,terminal_id,response_code,spending_pattern
TXN_00000802,CUST_000053,1764,Discover,2024-07-12,17:04:01,55.9,Mobil,Gas Station,5541,Virginia Beach,VA,TRM_249633,00,moderate
TXN_00000050,CUST_000187,1570,Visa,2024-07-12,18:54:49,173.91,Costco,Grocery,5411,Sterling Heights,MI,TRM_378095,00,moderate
TXN_00000581,CUST_000103,5389,Visa,2024-07-12,20:37:23,58.47,Theme Park,Entertainment,7841,Phoenix,AZ,TRM_286265,00,moderate
TXN_00000819,CUST_000121,8957,Mastercard,2024-07-12,23:25:31,786.28,Best Buy Online,Online Retail,5969,Wilmington,NC,TRM_726107,00,high_spender
TXN_00000815,CUST_000029,5498,Discover,2024-07-13,06:30:05,32.93,Walmart,Grocery,5499,Paterson,NJ,TRM_439896,00,moderate
TXN_00000996,CUST_000080,2636,Mastercard,2024-07-13,19:03:54,10.51,Walgreens,Pharmacy,5122,Philadelphia,PA,TRM_279649,00,moderate
TXN_00000396,CUST_000148,2365,Mastercard,2024-07-13,21:53:44,15.95,Chevron,Gas Station,5542,Cincinnati,OH,TRM_297133,00,conservative
TXN_00000787,CUST_000019,9654,Mastercard,2024-07-14,00:10:27,484.24,JCPenney,Department Store,5399,Phoenix,AZ,TRM_526774,00,high_spender
TXN_00000563,CUST_000019,4848,Mastercard,2024-07-14,10:12:23,53.08,Saks,Department Store,5311,Lansing,MI,TRM_169162,00,high_spender
TXN_00000518,CUST_000016,0582,Discover,2024-07-14,13:10:34,45.74,Safeway,Grocery,5411,Long Beach,CA,TRM_538231,00,conservative
TXN_00000602,CUST_000017,5634,American Express,2024-07-14,15:20:04,252.99,Wegmans,Grocery,5411,Woodbridge,NJ,TRM_138838,00,high_spender
TXN_00000577,CUST_000007,5143,American Express,2024-07-14,15:47:56,347.49,Saks,Department Store,5311,New York,NY,TRM_854760,00,high_spender
TXN_00000024,CUST_000196,8484,Discover,2024-07-15,07:45:09,15.96,Valero,Gas Station,5541,Evanston,IL,TRM_117975,00,moderate
TXN_00000038,CUST_000003,8909,Visa,2024-07-16,03:44:08,172.42,eBay,Online Retail,5999,Raleigh,NC,TRM_781595,00,conservative
TXN_00000553,CUST_000005,1007,Mastercard,2024-07-16,09:06:49,203.8,Toll Road,Transportation,4111,San Antonio,TX,TRM_730839,00,high_spender
TXN_00000246,CUST_000032,1966,Discover,2024-07-16,13:21:13,53.14,Pizza Hut,Restaurant,5812,Tallahassee,FL,TRM_433219,00,conservative
TXN_00000479,CUST_000084,2923,Mastercard,2024-07-16,14:04:31,153.57,Nordstrom,Department Store,5311,Parma,OH,TRM_927616,00,high_spender
TXN_00000504,CUST_000027,7922,Discover,2024-07-16,18:08:03,61.77,Theme Park,Entertainment,7841,Fort Lauderdale,FL,TRM_139103,00,conservative
TXN_00000541,CUST_000060,3190,Mastercard,2024-07-16,18:22:12,563.41,Mall ATM,ATM,6012,Dallas,TX,TRM_859338,00,high_spender
