transaction_id,customer_id,card_number_last4,card_type,transaction_date,transaction_time,amount,merchant_name,merchant_category,merchant_category_code,city,state,terminal_id,response_code,spending_pattern
TXN_00003989,CUST_000326,4749,American Express,2024-07-12,00:42:03,6.08,Publix,Grocery,5499,Rockford,IL,TRM_384236,00,conservative
TXN_00008704,CUST_000199,1347,Visa,2024-07-12,00:52:18,110.77,Pizza Hut,Restaurant,5812,Dallas,TX,TRM_510329,65,moderate
TXN_00008577,CUST_001307,8251,Mastercard,2024-07-12,01:11:23,253.66,Starbucks,Restaurant,5812,Ann Arbor,MI,TRM_987541,00,high_spender
TXN_00001453,CUST_001345,4163,Discover,2024-07-12,02:04:38,81.89,Pharmacy Plus,Pharmacy,5912,Columbus,OH,TRM_416084,00,high_spender
TXN_00009056,CUST_000273,1045,American Express,2024-07-12,07:55:53,100.82,Kroger,Grocery,5499,Peoria,IL,TRM_348442,00,moderate
TXN_00000200,CUST_000177,8426,Visa,2024-07-12,10:22:08,586.56,Walmart.com,Online Retail,5999,Everett,WA,TRM_667838,00,high_spender
TXN_00006982,CUST_000666,9875,American Express,2024-07-12,11:18:28,28.33,Pizza Hut,Restaurant,5814,New Rochelle,NY,TRM_199137,00,high_spender
TXN_00006167,CUST_000255,5874,American Express,2024-07-12,11:29:49,143.58,Kohl's,Department Store,5311,Tacoma,WA,TRM_153019,00,high_spender
TXN_00001877,CUST_000070,8835,American Express,2024-07-12,11:39:53,38.72,Safeway,Grocery,5411,Glendale,AZ,TRM_566310,00,high_spender
TXN_00001387,CUST_001150,2998,Mastercard,2024-07-12,11:44:04,51.4,Chipotle,Restaurant,5812,Portsmouth,VA,TRM_437622,00,conservative
TXN_00002556,CUST_000942,9020,American Express,2024-07-12,11:48:07,82.65,Kohl's,Department Store,5399,Grand Rapids,MI,TRM_501019,00,conservative
TXN_00001077,CUST_000425,9664,American Express,2024-07-12,12:00:44,186.8,Domino's,Restaurant,5814,Spokane,WA,TRM_705212,00,high_spender
TXN_00003664,CUST_000613,5866,Discover,2024-07-12,12:02:36,40.74,Walmart,Grocery,5499,Quincy,MA,TRM_340489,00,conservative
TXN_00002406,CUST_000865,2997,Mastercard,2024-07-12,14:27:39,489.01,Target.com,Online Retail,5969,Buffalo,NY,TRM_622250,00,high_spender
TXN_00000840,CUST_001207,5724,Visa,2024-07-12,14:39:11,136.24,Panera,Restaurant,5814,Savannah,GA,TRM_612957,00,moderate
TXN_00006536,CUST_000710,2173,Visa,2024-07-12,14:46:25,248.27,Safeway,Grocery,5499,Norfolk,VA,TRM_306151,00,high_spender
TXN_00001106,CUST_000204,0982,Mastercard,2024-07-12,16:10:42,166.93,Target,Grocery,5411,New Bedford,MA,TRM_918470,14,high_spender
TXN_00009768,CUST_000306,0612,Visa,2024-07-12,16:21:00,707.87,B&H Photo,Electronics,5045,Woodbridge,NJ,TRM_847360,00,conservative
TXN_00000083,CUST_001099,0276,Mastercard,2024-07-12,16:32:47,30.22,Walmart,Grocery,5499,New Rochelle,NY,TRM_143431,00,moderate
TXN_00007176,CUST_000289,9039,Discover,2024-07-12,16:48:27,54.93,Bloomingdale's,Department Store,5399,Columbus,GA,TRM_255266,00,conservative
TXN_00004658,CUST_000480,6480,Mastercard,2024-07-12,17:05:45,328.65,Saks,Department Store,5311,Dayton,OH,TRM_123313,00,moderate
TXN_00000793,CUST_001007,3831,American Express,2024-07-12,18:41:09,32.92,Chipotle,Restaurant,5814,Cheektowaga,NY,TRM_120009,00,conservative
TXN_00003674,CUST_000278,9102,Discover,2024-07-12,18:45:20,117.07,Marathon,Gas Station,5541,Bakersfield,CA,TRM_624627,00,high_spender
TXN_00004254,CUST_001407,2899,Visa,2024-07-12,19:08:05,230.36,Bloomingdale's,Department Store,5311,New Rochelle,NY,TRM_665308,00,high_spender
TXN_00007988,CUST_000841,4493,Mastercard,2024-07-12,19:48:24,2.38,Kroger,Grocery,5499,Tempe,AZ,TRM_783237,00,moderate
TXN_00008849,CUST_000207,3100,American Express,2024-07-12,19:59:17,59.11,Bank ATM,ATM,6011,Scranton,PA,TRM_285999,00,moderate
TXN_00004294,CUST_001068,0827,Discover,2024-07-12,21:50:17,74.47,Olive Garden,Restaurant,5812,Durham,NC,TRM_878901,00,moderate
TXN_00003538,CUST_000967,7197,American Express,2024-07-13,03:56:16,20.15,Subway,Restaurant,5814,Spokane,WA,TRM_535294,00,high_spender
TXN_00002785,CUST_001100,8504,American Express,2024-07-13,06:00:12,220.65,Convenience Store ATM,ATM,6012,Toledo,OH,TRM_739945,00,moderate
TXN_00003791,CUST_000796,0583,Visa,2024-07-13,06:38:10,136.3,Saks,Department Store,5311,Virginia Beach,VA,TRM_494091,00,moderate
TXN_00000874,CUST_000496,8409,Mastercard,2024-07-13,07:48:26,119.46,Toll Road,Transportation,4111,Tempe,AZ,TRM_490856,00,moderate
TXN_00006244,CUST_000630,3881,Visa,2024-07-13,07:54:04,252.24,Whole Foods,Grocery,5411,Grand Rapids,MI,TRM_305383,00,high_spender
TXN_00008858,CUST_000939,0012,Discover,2024-07-13,10:35:22,1650.18,Medical Center,Healthcare,8021,Fort Lauderdale,FL,TRM_392289,00,high_spender
TXN_00001588,CUST_000878,3579,American Express,2024-07-13,10:39:05,899.87,Dental Office,Healthcare,8011,Warren,MI,TRM_991510,00,conservative
TXN_00000242,CUST_000119,5718,Discover,2024-07-13,12:11:36,217.34,Starbucks,Restaurant,5812,Hampton,VA,TRM_546223,00,high_spender
TXN_00007279,CUST_001405,9906,Mastercard,2024-07-13,14:25:34,102.31,Hyatt,Hotel,3501,Elizabeth,NJ,TRM_421577,00,conservative
TXN_00006179,CUST_001463,0419,Discover,2024-07-13,15:30:41,75.13,Pharmacy Plus,Pharmacy,5122,Scottsdale,AZ,TRM_564215,00,high_spender
TXN_00007956,CUST_000663,1367,American Express,2024-07-13,15:42:25,255.58,Wayfair,Online Retail,5969,Austin,TX,TRM_291854,00,conservative
TXN_00001459,CUST_001309,0706,Discover,2024-07-13,17:11:01,236.71,Mall ATM,ATM,6011,Glendale,AZ,TRM_982272,00,conservative
TXN_00004832,CUST_000836,8378,Discover,2024-07-13,17:13:48,172.82,Chevron,Gas Station,5542,Fresno,CA,TRM_117674,00,high_spender
TXN_00005289,CUST_000235,8158,Discover,2024-07-13,17:45:03,94.97,Whole Foods,Grocery,5499,Lansing,MI,TRM_484663,00,high_spender
TXN_00004788,CUST_000139,9150,American Express,2024-07-13,18:07:22,172.0,Toll Road,Transportation,4111,Springfield,MA,TRM_930275,00,high_spender
TXN_00000101,CUST_000943,4645,Discover,2024-07-13,18:16:15,102.21,Exxon,Gas Station,5542,Quincy,MA,TRM_564387,00,moderate
TXN_00004215,CUST_001244,0227,Discover,2024-07-13,19:14:01,56.67,Costco,Grocery,5499,Alexandria,VA,TRM_303311,00,high_spender
TXN_00002927,CUST_000973,5255,Visa,2024-07-13,20:16:43,193.58,Amazon,Online Retail,5999,Tampa,FL,TRM_997716,00,conservative
TXN_00003006,CUST_000079,7653,Discover,2024-07-13,20:30:59,289.96,Zappos,Online Retail,5999,Elizabeth,NJ,TRM_396807,62,moderate
TXN_00003491,CUST_000782,7410,Mastercard,2024-07-13,20:39:12,137.21,Sports Arena,Entertainment,7832,Hialeah,FL,TRM_911034,00,high_spender
TXN_00001020,CUST_000468,9389,Discover,2024-07-13,23:08:35,72.84,Valero,Gas Station,5542,Hialeah,FL,TRM_310159,00,moderate
TXN_00004253,CUST_001343,2779,Discover,2024-07-14,04:27:16,706.04,Zappos,Online Retail,5999,New York,NY,TRM_575539,00,high_spender
TXN_00009729,CUST_000183,1929,Visa,2024-07-14,04:31:20,62.5,Valero,Gas Station,5541,Toms River,NJ,TRM_440661,00,high_spender
TXN_00005609,CUST_000637,4270,American Express,2024-07-14,04:34:52,100.88,Walmart.com,Online Retail,5999,Lansing,MI,TRM_349451,00,high_spender
TXN_00003892,CUST_001303,0612,American Express,2024-07-14,08:09:22,64.65,Walmart,Grocery,5411,Chicago,IL,TRM_294286,00,moderate
TXN_00005456,CUST_000834,1943,Mastercard,2024-07-14,10:30:15,30.09,Sunoco,Gas Station,5541,Flint,MI,TRM_854860,00,moderate
TXN_00003175,CUST_000245,7577,Visa,2024-07-14,10:45:02,584.82,Medical Center,Healthcare,8021,Canton,OH,TRM_567092,00,moderate
TXN_00009369,CUST_000073,0578,Mastercard,2024-07-14,11:01:45,66.19,Rite Aid,Pharmacy,5122,Cincinnati,OH,TRM_385651,00,high_spender
TXN_00002462,CUST_000023,7364,Visa,2024-07-14,12:28:46,335.27,Nordstrom,Department Store,5399,Tacoma,WA,TRM_990138,00,moderate
TXN_00001375,CUST_000737,5750,American Express,2024-07-14,12:52:38,116.51,Publix,Grocery,5499,Bethlehem,PA,TRM_800062,62,moderate
TXN_00001432,CUST_000791,0894,Discover,2024-07-14,13:02:25,120.84,Wegmans,Grocery,5411,Bakersfield,CA,TRM_855769,00,moderate
TXN_00004889,CUST_001128,1210,American Express,2024-07-14,14:13:41,253.86,Lyft,Transportation,4121,Lancaster,PA,TRM_407207,00,high_spender
TXN_00004764,CUST_001034,0971,American Express,2024-07-14,14:45:39,707.62,Target.com,Online Retail,5969,Cambridge,MA,TRM_891918,00,high_spender
TXN_00009422,CUST_001276,1566,American Express,2024-07-14,15:10:53,410.83,Dillard's,Department Store,5311,Yonkers,NY,TRM_899877,00,high_spender
TXN_00008719,CUST_000855,4947,Discover,2024-07-14,15:32:38,602.44,Saks,Department Store,5399,Canton,OH,TRM_285485,00,high_spender
TXN_00001544,CUST_001187,6850,Mastercard,2024-07-14,15:35:20,140.49,Saks,Department Store,5311,Paterson,NJ,TRM_864409,00,conservative
TXN_00008900,CUST_000756,3657,Visa,2024-07-14,15:55:23,67.12,eBay,Online Retail,5999,Chicago,IL,TRM_775128,00,moderate
TXN_00004548,CUST_000637,2437,American Express,2024-07-14,16:34:30,709.18,Hilton,Hotel,7011,Warren,MI,TRM_996498,00,high_spender
TXN_00004513,CUST_000365,0113,American Express,2024-07-14,16:45:06,1053.52,Best Buy,Electronics,5045,Chicago,IL,TRM_367080,00,high_spender
TXN_00006765,CUST_001333,3206,Visa,2024-07-14,16:54:02,120.3,Safeway,Grocery,5499,Cambridge,MA,TRM_754694,00,conservative
TXN_00006131,CUST_000135,2768,American Express,2024-07-14,17:08:09,242.85,Olive Garden,Restaurant,5814,San Antonio,TX,TRM_581717,00,high_spender
TXN_00001110,CUST_000080,1630,Mastercard,2024-07-14,17:31:10,42.41,BP,Gas Station,5542,Sandy Springs,GA,TRM_973666,00,conservative
TXN_00009565,CUST_000770,4933,American Express,2024-07-14,17:32:37,58.67,Sunoco,Gas Station,5542,Atlanta,GA,TRM_510383,00,conservative
TXN_00008480,CUST_001460,0401,Discover,2024-07-14,17:48:21,163.3,Target,Grocery,5411,Richmond,VA,TRM_251432,00,moderate
TXN_00001119,CUST_001313,5497,Discover,2024-07-14,18:08:32,86.12,Hyatt,Hotel,7011,Fayetteville,NC,TRM_965504,00,conservative
TXN_00008852,CUST_000140,9080,Visa,2024-07-14,18:17:26,71.34,Chipotle,Restaurant,5814,Tampa,FL,TRM_681160,00,conservative
TXN_00003349,CUST_000959,5099,Discover,2024-07-14,18:57:47,268.29,Convenience Store ATM,ATM,6011,Rockford,IL,TRM_694785,00,conservative
TXN_00006644,CUST_000750,5946,Mastercard,2024-07-14,20:03:43,32.72,CVS,Pharmacy,5122,Elgin,IL,TRM_287393,00,moderate
TXN_00001640,CUST_001057,9271,American Express,2024-07-14,20:39:10,82.14,McDonald's,Restaurant,5814,Miami,FL,TRM_399009,51,conservative
TXN_00001806,CUST_000137,1206,American Express,2024-07-14,21:01:25,41.41,eBay,Online Retail,5999,Elizabeth,NJ,TRM_883250,00,conservative
TXN_00002808,CUST_000896,0602,Mastercard,2024-07-14,21:34:33,124.98,Zappos,Online Retail,5969,Cheektowaga,NY,TRM_414889,00,high_spender
TXN_00000442,CUST_000422,9254,Mastercard,2024-07-14,22:34:49,342.9,Zappos,Online Retail,5999,Elizabeth,NJ,TRM_592325,00,moderate
TXN_00006975,CUST_000419,9342,Mastercard,2024-07-14,22:42:02,91.8,Whole Foods,Grocery,5411,Dearborn,MI,TRM_868977,00,high_spender
TXN_00003318,CUST_001115,0220,Visa,2024-07-15,00:41:55,196.68,McDonald's,Restaurant,5814,Tucson,AZ,TRM_109926,00,high_spender
TXN_00003757,CUST_000583,5699,Discover,2024-07-15,04:03:17,50.17,Uber,Transportation,4111,St. Petersburg,FL,TRM_568792,00,conservative
TXN_00005338,CUST_001442,7098,Visa,2024-07-15,05:51:59,100.1,Panera,Restaurant,5814,Athens,GA,TRM_369190,00,moderate
TXN_00008604,CUST_001215,5614,Discover,2024-07-15,06:11:28,257.44,Pizza Hut,Restaurant,5812,El Paso,TX,TRM_648496,00,high_spender
TXN_00005719,CUST_001364,2835,Discover,2024-07-15,07:15:11,26.68,Sunoco,Gas Station,5541,Tacoma,WA,TRM_539237,00,moderate
TXN_00003163,CUST_000636,3967,Discover,2024-07-15,07:48:55,20.02,Mobil,Gas Station,5541,St. Petersburg,FL,TRM_110914,00,conservative
TXN_00009350,CUST_000016,8771,Discover,2024-07-15,08:58:22,35.16,Kroger,Grocery,5499,Tacoma,WA,TRM_531132,00,moderate
TXN_00005034,CUST_000392,4862,American Express,2024-07-15,08:59:34,57.12,Convenience Store ATM,ATM,6012,Sterling Heights,MI,TRM_660131,00,moderate
TXN_00007596,CUST_000923,6390,Mastercard,2024-07-15,09:19:31,53.31,Sunoco,Gas Station,5541,Scottsdale,AZ,TRM_602738,00,moderate
TXN_00001350,CUST_000037,3888,Mastercard,2024-07-15,09:26:37,59.99,Chevron,Gas Station,5542,Winston-Salem,NC,TRM_465860,00,conservative
TXN_00001271,CUST_001056,7388,American Express,2024-07-15,09:35:06,49.32,Sunoco,Gas Station,5541,Allentown,PA,TRM_528393,00,conservative
TXN_00004940,CUST_000515,8886,Visa,2024-07-15,10:03:53,733.78,Specialist Clinic,Healthcare,8011,Aurora,IL,TRM_737811,00,conservative
TXN_00000320,CUST_000664,0754,Mastercard,2024-07-15,10:07:55,17.4,Chipotle,Restaurant,5814,Worcester,MA,TRM_331695,00,moderate
TXN_00006184,CUST_001012,6679,Mastercard,2024-07-15,11:03:16,252.71,Costco,Grocery,5411,Newport News,VA,TRM_673741,00,high_spender
TXN_00000932,CUST_000771,9717,Discover,2024-07-15,11:09:00,177.82,Chipotle,Restaurant,5812,Tacoma,WA,TRM_777482,00,high_spender
TXN_00000069,CUST_001479,0226,Mastercard,2024-07-15,11:56:06,49.89,Rite Aid,Pharmacy,5912,San Diego,CA,TRM_241667,00,conservative
TXN_00002979,CUST_000638,5549,Visa,2024-07-15,12:17:35,45.46,McDonald's,Restaurant,5812,Vancouver,WA,TRM_745962,05,moderate
TXN_00009584,CUST_000514,0697,American Express,2024-07-15,12:27:32,38.7,Kroger,Grocery,5411,Pittsburgh,PA,TRM_528463,00,conservative
TXN_00005191,CUST_001021,9260,Mastercard,2024-07-15,12:41:04,30.01,McDonald's,Restaurant,5814,Jersey City,NJ,TRM_103517,00,conservative
TXN_00001869,CUST_001413,7375,Mastercard,2024-07-15,13:15:07,241.23,Wegmans,Grocery,5411,Aurora,IL,TRM_215772,00,high_spender
TXN_00005727,CUST_000065,1555,Discover,2024-07-15,13:54:03,4.51,Kroger,Grocery,5411,Macon,GA,TRM_342932,51,moderate
TXN_00008174,CUST_001364,2226,Discover,2024-07-15,13:56:18,141.1,Starbucks,Restaurant,5814,Spokane,WA,TRM_664352,00,moderate
TXN_00005558,CUST_001069,0379,American Express,2024-07-15,14:57:04,106.08,Toll Road,Transportation,4121,Cheektowaga,NY,TRM_903131,00,conservative
TXN_00001800,CUST_001101,8141,Discover,2024-07-15,15:15:04,69.02,Bloomingdale's,Department Store,5311,Detroit,MI,TRM_636573,00,conservative
TXN_00005295,CUST_000790,1144,American Express,2024-07-15,15:59:47,21.93,Kroger,Grocery,5499,Richmond,VA,TRM_838756,51,conservative
TXN_00008643,CUST_001219,4712,Discover,2024-07-15,16:16:45,97.24,Sunoco,Gas Station,5541,Macon,GA,TRM_485599,00,high_spender
TXN_00009751,CUST_000128,6169,Discover,2024-07-15,17:05:46,37.26,Chevron,Gas Station,5541,Elgin,IL,TRM_822357,14,moderate
TXN_00008115,CUST_000442,9589,Mastercard,2024-07-15,17:39:36,109.03,Chevron,Gas Station,5541,Los Angeles,CA,TRM_690879,00,moderate
TXN_00007367,CUST_001343,6962,Discover,2024-07-15,17:51:09,396.18,Wayfair,Online Retail,5969,New York,NY,TRM_338614,00,high_spender
TXN_00005911,CUST_000705,9809,Visa,2024-07-15,18:05:46,62.12,Panera,Restaurant,5812,New York,NY,TRM_611837,00,conservative
TXN_00006435,CUST_001073,3354,Mastercard,2024-07-15,18:22:59,157.48,Valero,Gas Station,5542,Dayton,OH,TRM_482226,61,high_spender
